"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-15","0.00","0.0","0.0","101","71","71","131.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-16","0.00","0.0","0.0","81","58","65","110.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-17","0.00","0.0","0.0","78","61","65","59.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-18","0.00","0.0","0.0","86","61","71","90.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-19","0.00","0.0","0.0","85","64","75","65.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-20","0.00","0.0","0.0","93","68","80","46.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-21","0.00","0.0","0.0","98","76","84","31.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-22","0.00","0.0","0.0","103","79","85","57.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-23","0.00","0.0","0.0","101","73","78","59.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-24","0.00","0.0","0.0","98","71","74","67.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-25","0.00","0.0","0.0","96","70","80","29.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-26","0.00","0.0","0.0","107","77","81","11.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-27","0.00","0.0","0.0","99","73","79","14.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-28","0.00","0.0","0.0","101","79","83","5.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-29","0.00","0.0","0.0","101","66","66","101.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-30","0.00","0.0","0.0","80","59","67","42.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-31","0.00","0.0","0.0","91","67","80","47.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-01","0.00","0.0","0.0","101","76","80","95.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-02","0.00","0.0","0.0","99","66","74","115.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-03","0.00","0.0","0.0","91","69","79",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-04","0.00","0.0","0.0","97","75","79","47.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-05","0.00","0.0","0.0","101","73","83","67.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-06","0.00","0.0","0.0","100","73","75",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-07","0.00","0.0","0.0","95","72","78","52.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-08","0.00","0.0","0.0","99","75","79","47.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-09","0.00","0.0","0.0","104","79","84","47.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-10","0.00","0.0","0.0","108","84","90","28.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-11","0.00","0.0","0.0","110","81","87","65.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-12","0.00","0.0","0.0","107","79","85","59.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-13","0.00","0.0","0.0","104","83","88","42.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-14","0.00","0.0","0.0","110","87","94","39.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-15","0.00","0.0","0.0","116","81","94","26.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-16","0.00","0.0","0.0","119","91","94","60.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-17","0.00","0.0","0.0","116","85","91","67.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-18","0.00","0.0","0.0","108","85","89","47.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-19","0.00","0.0","0.0","110","82","91","47.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-20","0.00","0.0","0.0","111","84","93","60.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-21","0.00","0.0","0.0","112","85","92","36.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-22","0.00","0.0","0.0","118","82","93","26.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-23","0.00","0.0","0.0","122","93","99","52.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-24","0.00","0.0","0.0","124","90","98","62.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-25","0.00","0.0","0.0","119","87","93","69.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-26","0.00","0.0","0.0","115","85","95","57.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-27","0.00","0.0","0.0","114","95","97","44.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-28","0.00","0.0","0.0","118","92","97","70.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-29","0.00","0.0","0.0","115","85","89","115.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-06-30","0.00","0.0","0.0","104","78","82","108.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-01","0.00","0.0","0.0","108","82","91","28.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-02","0.00","0.0","0.0","118","86","98","29.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-03","0.00","0.0","0.0","123","86","88","26.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-04","0.00","0.0","0.0","118","87","103","52.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-05","0.10","0.0","0.0","118","79","85","62.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-06","0.00","0.0","0.0","110","85","97","26.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-07","0.04","0.0","0.0","114","87","90","39.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-08","0.00","0.0","0.0","114","88","94","47.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-09","0.00","0.0","0.0","116","86","96","37.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-10","0.00","0.0","0.0","116","93","99","54.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-11","0.00","0.0","0.0","119","92","97","67.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-12","0.00","0.0","0.0","116","89","92","73.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-13","0.00","0.0","0.0","111","78","89","75.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-14","0.00","0.0","0.0","109","76","88","83.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-15","0.00","0.0","0.0","107","83","86","70.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-16","0.00","0.0","0.0","106","83","86","69.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-17","0.00","0.0","0.0","109","82","90","49.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-18","0.00","0.0","0.0","113","86","94","39.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-19","0.00","0.0","0.0","118","92","99","44.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-20","0.00","0.0","0.0","120","88","95","75.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-21","0.00","0.0","0.0","117","89","96","54.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-22","0.00","0.0","0.0","115","90","97","51.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-23","0.00","0.0","0.0","116","91","95","60.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-24","0.00","0.0","0.0","117","83","93","32.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-25","0.00","0.0","0.0","119","89","101","49.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-26","0.00","0.0","0.0","117","97","100","57.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-27","0.00","0.0","0.0","118","93","98","80.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-28","0.00","0.0","0.0","118","96","102","47.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-29","0.00","0.0","0.0","116","95","97","34.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-30","0.13","0.0","0.0","120","85","94","41.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-07-31","0.00","0.0","0.0","117","94","96","60.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-01","0.29","0.0","0.0","105","77","85","37.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-02","0.00","0.0","0.0","109","83","93","26.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-03","0.00","0.0","0.0","116","92","98","32.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-04","0.00","0.0","0.0","120","86","94","59.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-05","0.00","0.0","0.0","116","87","94","59.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-06","0.00","0.0","0.0","117","88","97","34.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-07","0.00","0.0","0.0","114","87","95","49.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-08","0.00","0.0","0.0","114","87","95","37.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-09","0.00","0.0","0.0","116","87","94","42.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-10","0.00","0.0","0.0","117","86","94","49.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-11","0.00","0.0","0.0","116","89","92","57.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-12","0.00","0.0","0.0","114","83","92","34.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-13","0.00","0.0","0.0","116","83","90","29.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-14","0.00","0.0","0.0","116","88","94","44.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-15","0.00","0.0","0.0","119","90","97","54.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-16","0.00","0.0","0.0","115","88","90","42.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-17","0.00","0.0","0.0","113","79","89","29.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-08-18","0.00","0.0","0.0","118","82","92","23.0"
